source,fmp_id,name,inventory,sold_size,fmp_price,catalog_slug,catalog_name,catalog_price,status,decision,reason
established_pure_powder_sku,873,Bitter Melon Tea Powder (Momordica charantia),,100 g,40,bitter-melon-tea-powder-momordica-charantia,Bitter Melon Tea Powder (Momordica charantia),4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,458,Bone Broth powder,,100 g,$40,bone-broth-powder,Bone Broth powder,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,106,Chlorella Powder,,120 g,40,chlorella-powder,Chlorella Powder,3997,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,511,Cilantro Juice Powder,,100 g,$40,cilantro-juice-powder,Cilantro Juice Powder,3997,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,874,Hydrolyzed Collagen Powder,,100 g,40,hydrolyzed-collagen-powder,Hydrolyzed Collagen Powder,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,459,"Hydrolyzed Collagen Powder - Grass Fed, Type I & III",,100 g,$40,hydrolyzed-collagen-powder-grass-fed-type-i-iii,"Hydrolyzed Collagen Powder - Grass Fed, Type I & III",4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,523,Hydrolyzed Pea Protein Powder,,120 g,$40,hydrolyzed-pea-protein-powder,Hydrolyzed Pea Protein Powder,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,583,Hydrolyzed Whey Protein Powder,,100 g,$40,hydrolyzed-whey-protein-powder,Hydrolyzed Whey Protein Powder,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,90,MSM Powder,,200 g,$40,msm-powder,MSM Powder,3997,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,1113,Magnesium Glycinate,,200 g,40,magnesium-glycinate,Magnesium Glycinate,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,447,Pea Protein Aminos - Pure & Predigested,,120 g,$40,pea-protein-aminos-pure-predigested,Pea Protein Aminos - Pure & Predigested,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,547,"Quercetin Dihydrate Powder
60 grams",,60 g,$40,quercetin-dihydrate-powder-60-grams,Quercetin Dihydrate Powder 60 grams,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,471,SeaAmino Powder,,80 g,$40,seaamino-powder,SeaAmino Powder,4000,live_catalog_record,publish_or_reconcile,established active Pure Powder product
established_pure_powder_sku,1168,Sumac Bran 50:1,,100 g,40,sumac-bran-501-pure-powder,Sumac Bran 50:1 Pure Powder,3997,live_catalog_record,publish_or_reconcile,established active Pure Powder product
raw_ingredient_inventory,3248,Vitamin B3: Inositol Hexanicotinate,1209.6,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3249,7-Keto DHEA 99% (3-acetyl-7-oxo-dehydroepiandrosterone),140.4,,,,,,raw_material_review,exclude,restricted/high-risk raw material
raw_ingredient_inventory,3253,Star Grass (Hypoxis hemerocallidea),366,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3254,Star Grass 10:1 (Hypoxis aurea),1000,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3258,Aloe Acemannan Polysaccharides 98% (Aloe spp.),416.8,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3259,Cynarin 10% (Cynaria scolymus),1120,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3262,Withanolides 20% (Withania somnifera),522,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3269,Barley (Hordeum vulgare) (Grass Juice Powder),70,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3270,Hordenine 98% (Beta vulgaris),1166,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3272,Flavonoids 70% (Propolis),1314,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3273,Beet (Beta vulgaris) (succus),822,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3276,Na RALA (Stabilized Bio-enhanced Na R-Lipoate),3052.8,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3277,Charantin & Momordicin 10% (Momordica charantia),914,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3282,Black Currant Anthocyanin 25% (Ribes nigrum),1604,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3286,Bilberry Anthocyanin 25% (Vaccinium myrtillus),1778,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3292,Camu Camu (Myrciaria dubia),30,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3293,Oxindole Alkaloids 5% (Uncaria tomentosa),562.4,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3294,Cha de Bugre (Cordia salicifolia) (folia),454,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3298,Chlorella (Chlorella spp.) (broken cell wall),744,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3302,Coenzyme Q10 (CoQ10) 98% (Ubiquinone),814,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3311,Curry Leaf (Murray koenigii),454,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3317,"DIM 98% (3,4 Diindolylmethane) (Brassica oleracea)",869.2,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3323,EDTA Calcium Disodium ORAL CHELATION(Ethylenediaminetetraacetic acid),514,,,,,,raw_material_review,exclude,restricted/high-risk raw material
raw_ingredient_inventory,3325,Erythritol,454,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3332,HCA 60% (Hydroxycitric Acid) (Garcinia cambogia),164,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3335,Goat Whey protein (Capra aegagrus hircus),3638,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
raw_ingredient_inventory,3338,Grape OPCs 95% (Procyanidolic oligomers) (Vitis vinifera),1352,,,,,,raw_material_review,manual_review,"needs serving size, packaging, price, and safety approval"
